Player,Team,Position,Total Snaps,Off Snaps,Off Snap Pct,Def Snaps,Def Snap Pct,ST Snaps,ST Snap Pct
33-V.Ballard,IND,RB,39,39,3.6%,0,0.0%,0,0.0%
89-J.Byrne,HOU,TE,39,5,0.4%,0,0.0%,34,7.0%
97-L.Cohen,DAL,DL,39,0,0.0%,38,3.3%,1,0.2%
25-A.Jackson,BAL,DB,39,0,0.0%,0,0.0%,39,7.9%
90-V.Martin,MIA,DL,39,0,0.0%,32,2.8%,7,1.5%
7-T.Jackson,SEA,QB,39,39,3.9%,0,0.0%,0,0.0%
54-M.Dowtin,NYG,LB,38,0,0.0%,0,0.0%,38,8.1%
23-M.Gillislee,MIA,RB,38,8,0.8%,0,0.0%,30,6.4%
74-D.Roland,CIN,OL,38,23,2.0%,0,0.0%,15,3.2%
98-K.Love,JAC,DL,37,0,0.0%,37,3.3%,0,0.0%
97-J.Bannan,DET,DL,37,0,0.0%,30,2.9%,7,1.5%
54-Z.Diles,TEN,LB,37,0,0.0%,0,0.0%,37,7.8%
25-C.Thompson,WAS,RB,37,0,0.0%,0,0.0%,37,7.8%
93-A.Spencer,DAL,DL,36,0,0.0%,34,3.0%,2,0.4%
98-M.Forston,NE,DL,36,0,0.0%,35,3.0%,1,0.2%
27-B.Hughes,PHI,DB,35,0,0.0%,22,1.8%,13,2.7%
78-D.Sherrod,GB,OL,35,6,0.5%,0,0.0%,29,6.0%
77-W.Justice,DEN,OL,35,18,1.5%,0,0.0%,17,3.2%
25-J.Nixon,GB,DB,34,0,0.0%,2,0.2%,32,6.6%
